lake_name,obs_mo,ppt_obs,ppt_cdm_z,lake_lev_obs,lake_lev_pred,usgs_obs,swims_obs,airphoto_obs,bsts_lev_pred
Plainfield Lake,2012-09-01T05:00:00Z,42.58000183105469,0.5403268370679883,NA,334.5951815291054,NA,NA,NA,334.4058771196782
Pleasant Lake,2012-09-01T05:00:00Z,26.3799991607666,0.46537916402173024,NA,298.676135597328,NA,NA,NA,298.51217136746664
Long Lake,2012-10-01T05:00:00Z,132.22999572753906,0.8709589722459408,NA,334.54062136226315,NA,NA,NA,334.2173006371905
Plainfield Lake,2012-10-01T05:00:00Z,132.22999572753906,0.8709589722459408,NA,334.72245495283335,NA,NA,NA,334.4707228700567
Pleasant Lake,2012-10-01T05:00:00Z,142.39999389648437,0.8295562797529378,NA,298.7583527978874,NA,NA,NA,298.48588402219605
Long Lake,2012-11-01T05:00:00Z,35.81999969482422,0.6852787785078985,NA,334.43931852755406,NA,NA,NA,334.10624178279977
Plainfield Lake,2012-11-01T05:00:00Z,35.81999969482422,0.6852787785078985,NA,334.6509792810485,NA,NA,NA,334.4891081281423
Pleasant Lake,2012-11-01T05:00:00Z,34.810001373291016,0.6335601431005774,NA,298.71410440066546,NA,NA,NA,298.50915191822565
Long Lake,2012-12-01T06:00:00Z,51.099998474121094,0.5820416771503893,NA,334.38299474414924,NA,NA,NA,334.1413971224789
Plainfield Lake,2012-12-01T06:00:00Z,51.099998474121094,0.5820416771503893,NA,334.61123922571943,NA,NA,NA,334.5491427490411
Pleasant Lake,2012-12-01T06:00:00Z,49.849998474121094,0.5171261421358757,NA,298.68781807679795,NA,NA,NA,298.56156748845336
Long Lake,2013-01-01T06:00:00Z,38.41999816894531,0.4118354163487958,NA,334.290134130654,NA,NA,NA,334.00068153038177
Plainfield Lake,2013-01-01T06:00:00Z,38.41999816894531,0.4118354163487958,NA,334.5457200845129,NA,NA,NA,334.54184057461197
Pleasant Lake,2013-01-01T06:00:00Z,43.619998931884766,0.3691690004228701,NA,298.65441503891077,NA,NA,NA,298.607837066328
Long Lake,2013-02-01T06:00:00Z,32.58000183105469,0.21214528402943045,NA,334.1811877963135,NA,NA,NA,334.00247258893523
Plainfield Lake,2013-02-01T06:00:00Z,32.58000183105469,0.21214528402943045,NA,334.468851431648,NA,NA,NA,334.5104344250125
Pleasant Lake,2013-02-01T06:00:00Z,30.510000228881836,0.155460141382442,NA,298.60616778952016,NA,NA,NA,298.62457845474836
Long Lake,2013-03-01T06:00:00Z,49.63999938964844,0.10024313549792392,NA,334.1201365628563,NA,NA,NA,333.91251091863455
Plainfield Lake,2013-03-01T06:00:00Z,49.63999938964844,0.10024313549792392,NA,334.4257758559528,NA,NA,NA,334.483647892297
Pleasant Lake,2013-03-01T06:00:00Z,48.84000015258789,0.03409884990120041,NA,298.5787690727671,NA,NA,NA,298.6876700695945
Long Lake,2013-04-01T05:00:00Z,101.69999694824219,0.26973245991024475,NA,334.21260603237937,NA,NA,NA,334.1102773694367
Plainfield Lake,2013-04-01T05:00:00Z,101.69999694824219,0.26973245991024475,NA,334.491019019905,NA,NA,NA,334.5411538127858
Pleasant Lake,2013-04-01T05:00:00Z,115.2699966430664,0.2601958912028948,NA,298.62981309774176,NA,NA,NA,298.6953230057141
Long Lake,2013-05-01T05:00:00Z,117.26000213623047,0.5186916781276474,NA,334.34843244458125,NA,NA,NA,333.97654658412733
Plainfield Lake,2013-05-01T05:00:00Z,117.26000213623047,0.5186916781276474,NA,334.5868532982462,NA,NA,NA,334.59856883065135
Pleasant Lake,2013-05-01T05:00:00Z,125.69999694824219,0.535217059639631,NA,298.69190231089306,NA,NA,NA,298.73824883800427
Long Lake,2013-06-01T05:00:00Z,147.60000610351562,0.9290217618453438,NA,334.57229908221336,NA,NA,NA,334.154011484951
Plainfield Lake,2013-06-01T05:00:00Z,147.60000610351562,0.9290217618453438,NA,334.7448056236764,NA,NA,NA,334.6362132409314
Pleasant Lake,2013-06-01T05:00:00Z,173.08999633789062,1.060273182033686,NA,298.8104398099699,NA,NA,NA,298.7722051446373
Long Lake,2013-07-01T05:00:00Z,57.130001068115234,0.8659991749794529,333.8749,334.53791541117295,NA,333.8749,NA,333.8750200737403
Plainfield Lake,2013-07-01T05:00:00Z,57.130001068115234,0.8659991749794529,NA,334.72054573012946,NA,NA,NA,334.600018545822
Pleasant Lake,2013-07-01T05:00:00Z,64.7300033569336,1.027688781364342,NA,298.8030835042351,NA,NA,NA,298.7208716233937
Long Lake,2013-08-01T05:00:00Z,29.290000915527344,0.6547195525414342,NA,334.42264611810316,NA,NA,NA,334.00136481513135
Plainfield Lake,2013-08-01T05:00:00Z,29.290000915527344,0.6547195525414342,NA,334.63921582280767,NA,NA,NA,334.616970506995
Pleasant Lake,2013-08-01T05:00:00Z,31.139999389648437,0.822756831800609,298.667424,298.7568177437837,NA,298.667424,NA,298.64490606979825
Long Lake,2013-09-01T05:00:00Z,48.54999923706055,0.5457107812282207,NA,334.3631734445785,NA,NA,NA,333.9343287005912
Plainfield Lake,2013-09-01T05:00:00Z,48.54999923706055,0.5457107812282207,NA,334.59725402277286,NA,NA,NA,334.5523619285465
