lake_name,obs_mo,ppt_obs,ppt_cdm_z,lake_lev_obs,lake_lev_pred,usgs_obs,swims_obs,airphoto_obs
Lake Huron,1905-06-01,211.52999877929687,0.7332252427851109,NA,331.1374397599815,NA,NA,NA
Long Lake,1905-06-01,213.75999450683594,0.7784027726196647,NA,334.53302047328725,NA,NA,NA
Plainfield Lake,1905-06-01,213.75999450683594,0.7784027726196647,NA,334.6926722974576,NA,NA,NA
Devils Lake,1905-06-01,183.8300018310547,0.36315842646072455,NA,293.57477301389173,NA,NA,NA
Anvil Lake,1905-07-01,101.7699966430664,1.0340354214526453,NA,544.6136495939098,NA,NA,NA
Lake Huron,1905-07-01,101.31999969482422,0.8972364046806784,NA,331.3120130489668,NA,NA,NA
Long Lake,1905-07-01,100.33999633789062,0.9363984339701109,NA,334.62768639174055,NA,NA,NA
Plainfield Lake,1905-07-01,100.33999633789062,0.9363984339701109,NA,334.7544046304701,NA,NA,NA
Devils Lake,1905-07-01,85.58000183105469,0.42900583431264067,NA,293.616978516192,NA,NA,NA
Anvil Lake,1905-08-01,97.12999725341797,1.1900832051237324,NA,544.6649174185441,NA,NA,NA
Lake Huron,1905-08-01,137.3800048828125,1.2495160473467362,NA,331.68697908878994,NA,NA,NA
Long Lake,1905-08-01,138.41000366210937,1.2932183040256446,NA,334.8414813809984,NA,NA,NA
Plainfield Lake,1905-08-01,138.41000366210937,1.2932183040256446,NA,334.89382189582716,NA,NA,NA
Devils Lake,1905-08-01,112.58999633789062,0.6129289283463007,NA,293.7348657166384,NA,NA,NA
Anvil Lake,1905-09-01,104.38999938964844,1.3973275893883392,NA,544.733005336866,NA,NA,NA
Lake Huron,1905-09-01,71.23999786376953,1.2550513852146044,NA,331.6928708959454,NA,NA,NA
Long Lake,1905-09-01,72.94999694824219,1.3065104394919171,NA,334.8494456010369,NA,NA,NA
Plainfield Lake,1905-09-01,72.94999694824219,1.3065104394919171,NA,334.89901542156093,NA,NA,NA
Devils Lake,1905-09-01,53.5,0.5389631547204387,NA,293.6874566730519,NA,NA,NA
Anvil Lake,1905-10-01,63.40999984741211,1.3703247719391531,NA,544.7241338509849,NA,NA,NA
Lake Huron,1905-10-01,65.86000061035156,1.2414116486667641,NA,331.67835277630934,NA,NA,NA
Long Lake,1905-10-01,66.12000274658203,1.2929042109977376,NA,334.8412931865587,NA,NA,NA
Plainfield Lake,1905-10-01,66.12000274658203,1.2929042109977376,NA,334.8936991728661,NA,NA,NA
Devils Lake,1905-10-01,71.470001220703125,0.5502395846497551,NA,293.69468440463385,NA,NA,NA
Anvil Lake,1905-11-01,40.56999969482422,1.2078214075904707,NA,544.6707451145998,NA,NA,NA
Lake Huron,1905-11-01,43.880001068115234,1.1097931995162775,NA,331.5382582529014,NA,NA,NA
Long Lake,1905-11-01,43.43000030517578,1.1574593172592342,NA,334.76013896272764,NA,NA,NA
Plainfield Lake,1905-11-01,43.43000030517578,1.1574593172592342,NA,334.84077791405656,NA,NA,NA
Devils Lake,1905-11-01,56.650001525878906,0.49466028825194447,NA,293.65906034290555,NA,NA,NA
Anvil Lake,1905-12-01,34.58000183105469,1.0084929778679044,NA,544.6052578981893,NA,NA,NA
Lake Huron,1905-12-01,32.22999954223633,0.9149926355934391,NA,331.3309127603925,NA,NA,NA
Long Lake,1905-12-01,32.189998626708984,0.9609695403007528,NA,334.64240860834025,NA,NA,NA
Plainfield Lake,1905-12-01,32.189998626708984,0.9609695403007528,NA,334.764005094847,NA,NA,NA
Devils Lake,1905-12-01,30.940000534057617,0.3239289860853641,NA,293.54962854290926,NA,NA,NA
Anvil Lake,1906-01-01,59.38999938964844,0.9524564451296356,NA,544.5868476967372,NA,NA,NA
